Feature,Importance
MAR09797,0.08115025909539819
MAR00398,0.06097793480205111
MAR02458,0.04565792619375934
MAR02456,0.04535769223302331
MAR02455,0.041124145999119406
MAR02440,0.03954015648059706
MAR02457,0.03799642758257644
MAR02437,0.03622587135250593
MAR11305,0.03573448834541313
MAR02439,0.033337684022768016
MAR06348,0.026975028094434902
MAR00748,0.01722247433686041
MAR00268,0.01693205219792505
MAR04560,0.016567524442205103
MAR00651,0.01438320308841929
MAR04559,0.013241810440789639
MAR00051,0.01300539958383753
MAR04627,0.012778671400593829
MAR08237,0.012441716482528004
MAR04296,0.01224735456763344
MAR07606,0.011971387001684717
MAR04564,0.01134734198429839
MAR12111,0.009315275947889376
MAR00779,0.008912742380266708
MAR08341,0.008613979934772085
MAR07621,0.008416959860699477
MAR03832,0.007237909037483054
MAR04302,0.006918762027329546
MAR02023,0.006712206782631627
MAR07626,0.006656139886335493
MAR04191,0.006021814841791285
MAR01471,0.005229844765376718
MAR08238,0.005181349076661023
MAR05132,0.004809553665498017
MAR00342,0.0046231791940171815
MAR03903,0.004468275827238047
MAR04416,0.004205392670867919
MAR04079,0.004074014185749566
MAR06790,0.004046743085981516
MAR00328,0.003874012921434439
MAR09499,0.003577538730189513
MAR07628,0.0034411115954327332
MAR08037,0.003238007049537015
MAR00681,0.0032269217340105813
MAR11544,0.003137973425658255
MAR08403,0.003136023615730753
MAR08038,0.003053892177275307
MAR00012,0.003029035068337439
MAR00450,0.0029840173018252157
MAR08426,0.0029821428571428573
MAR00005,0.0029411300626945008
MAR06791,0.002927586750028097
MAR05257,0.0029065465014464814
MAR04492,0.0028147994180004153
MAR07316,0.002777428643981704
MAR00680,0.002708502024291498
MAR08405,0.0026657690713222204
MAR11545,0.002536543828768971
MAR10460,0.00247334934683162
MAR03697,0.0023895367979028625
MAR07308,0.0023758185083682906
MAR00683,0.00233694807885142
MAR05341,0.0022928507379740407
MAR00648,0.0022468799285185054
MAR04519,0.002100630758692525
MAR07322,0.0020994717320445095
MAR00684,0.0020992647058823534
MAR07291,0.002040577326725335
MAR04424,0.002040350596025274
MAR07313,0.002022872320569235
MAR05145,0.002015918515189254
MAR01079,0.002
MAR03781,0.002
MAR00214,0.001939785062961355
MAR07704,0.00190224859174439
MAR03779,0.001900735294117647
MAR06601,0.001894758976614534
MAR00448,0.0018874964204248091
MAR03786,0.0018309761187108742
MAR00622,0.0017974644255562985
MAR00284,0.0017824941931931374
MAR02182,0.0017808278498845048
MAR00689,0.0017802914239066013
MAR07292,0.0017663742729807485
MAR00458,0.0017572508050583905
MAR03566,0.0017114995614724386
MAR00679,0.0016809024979854957
MAR03551,0.0016586863219374061
MAR00685,0.0016528138528138525
MAR00706,0.0016508562133439862
MAR00682,0.001637497444108493
MAR00010,0.001591066916784863
MAR08580,0.001580469178371279
MAR00709,0.0015771059356280137
MAR00088,0.0014808535407893771
MAR04810,0.0014707035101812966
MAR03733,0.0014312374849819785
MAR02258,0.0013969924812030077
MAR00691,0.00137887813726613
MAR07993,0.0013488266520849726
MAR06539,0.0013111684157643983
MAR01840,0.0013085714285714285
MAR02253,0.0013085714285714285
MAR04284,0.0013015179921082082
MAR09480,0.001239345431982987
MAR04520,0.0012111621204611226
MAR04681,0.0011901287830215124
MAR03544,0.0011782614136964355
MAR04718,0.0011721502201506124
MAR07289,0.0011678151897411618
MAR03881,0.0011562152133580703
MAR01498,0.0011377557014759336
MAR07408,0.0011188182847891293
MAR07756,0.0011153384060873048
MAR04683,0.0011113735721336906
MAR00660,0.0010962566844919788
MAR04646,0.001077054794520548
MAR06983,0.0010605688223226913
MAR04087,0.0010523768117992086
MAR05141,0.0010484451381351167
MAR04723,0.0010347890169581347
MAR04427,0.0010335338345864662
MAR04648,0.0010329067641681902
MAR04091,0.001031058282208589
MAR03816,0.0010220713073005095
MAR03701,0.00102126175103504
MAR04413,0.0010159961031104409
MAR03659,0.001
MAR07320,0.001
MAR04425,0.001
MAR09553,0.001
MAR07429,0.001
MAR07324,0.001
MAR09805,0.001
MAR07319,0.001
MAR02177,0.001
MAR10412,0.001
MAR04212,0.001
MAR07428,0.0009971097598543632
MAR04422,0.0009798959476874612
MAR04347,0.0009744777830076646
MAR06571,0.000968
MAR12018,0.000962735215467843
MAR00686,0.0009147741596638654
MAR07310,0.0009058219178082191
MAR00649,0.0009058219178082191
MAR04490,0.0009007352941176471
MAR04348,0.0008986236093577578
MAR07424,0.0008967001434720231
MAR06476,0.000894713719186136
MAR03586,0.0008945064818380184
MAR04415,0.0008909090909090909
MAR11399,0.0008846615939126952
MAR03685,0.0008812757700703373
MAR05274,0.0008793218085106383
MAR10416,0.000875
MAR07312,0.0008663649054528532
MAR09561,0.0008623984710941231
MAR08755,0.000860330576591452
MAR05425,0.0008550460068479851
