Feature,Importance
MAR03807F,0.2697066806188205
MAR04091,0.055847070189315076
MAR08743B,0.0540473035705033
MAR04089,0.05261478138397159
MAR04652B,0.051108751224330874
MAR04087,0.04849503881496591
MAR03831,0.024266907715664573
MAR02027B,0.013989851042087742
MAR04518,0.013759431129679606
MAR08582,0.012582582769344349
MAR08426,0.011751245478202258
MAR03263B,0.01095979679100405
MAR04408B,0.010756034480729327
MAR04410B,0.010269315723942756
MAR03940,0.010238685149946108
MAR04652F,0.010002793580299738
MAR04693F,0.009966455084398442
MAR04789,0.009819117131498275
MAR03883,0.009272551676737184
MAR04582F,0.009118471607450641
MAR03890,0.008730366683306283
MAR06602B,0.008472577152585188
MAR04693B,0.007926558188410817
MAR03912B,0.007862163242230142
MAR03903,0.007572685910217355
MAR03765,0.007478595491459979
MAR02027F,0.0072012394704258275
MAR03777,0.00712352524675028
MAR04690,0.0070201629345280105
MAR04574F,0.007017107484386338
MAR03778,0.006783215269558671
MAR08539,0.0067608989221386515
MAR04788,0.006759883103892508
MAR04174,0.006705379346905934
MAR11305,0.006221497921825978
MAR06603B,0.00615958703326123
MAR04302,0.006097444785206791
MAR06768,0.006059289908048177
MAR08684B,0.005886040254341585
MAR04408F,0.00581400617432341
MAR08684F,0.005735090081384864
MAR03816,0.005654551205923319
MAR03807B,0.005602578808563773
MAR04582B,0.005530605132911577
MAR08743F,0.005409477871713279
MAR00649,0.004987916902465475
MAR03263F,0.004359380071166594
MAR03912F,0.004236350537764565
MAR03829B,0.004230795444788148
MAR04330F,0.004103876628055433
MAR00622,0.004077573929873037
MAR07706,0.004061122542435046
MAR04410F,0.0038282919359063565
MAR08755,0.0037865658593528905
MAR00648,0.003497448104230181
MAR04791,0.003414613192695565
MAR07703,0.0033694328994089457
MAR06780,0.003137094965398952
MAR03845B,0.003114349743754901
MAR07702B,0.0030849927369869514
MAR06923,0.003083510211181585
MAR08589,0.0030076141419134506
MAR04650,0.00293169450038853
MAR07702F,0.0028219922651533326
MAR04520,0.002699520227920627
MAR01649,0.0024939503585222106
MAR03989,0.0024651030937231306
MAR04646,0.0024605797211201103
MAR04649,0.0023579152569709848
MAR03829F,0.0023486004367242585
MAR06602F,0.0023438742916648053
MAR01616B,0.0023188757783221166
MAR04574B,0.0023018363212439384
MAR08779,0.0022414777302548084
MAR06603F,0.0022155445134055957
MAR04330B,0.0022064452408371033
MAR08587,0.0021932977568432637
MAR04519,0.0021891213313964416
MAR03744,0.0020926768192546384
MAR03827B,0.002003938906255567
MAR04808,0.0019057452273838836
MAR04777,0.0018616801950915734
MAR03747,0.0018560505348101126
MAR06725F,0.0017933698566163405
MAR04260,0.0016861471232156222
MAR04776,0.0016327444695827056
MAR04284,0.0015661811028034496
MAR04406,0.001482226378977768
MAR01616F,0.0013526923461206553
MAR04648,0.0012174832710862124
MAR04194,0.001188362646791212
MAR03892,0.0011472142484840453
MAR04792F,0.001083804021945827
MAR09802,0.0010218793965971168
MAR04792B,0.001018145836882468
MAR03827F,0.0009039576436635263
MAR04300,0.0008447765949328451
MAR08607,0.0007437387346056079
MAR08416,0.0006871652028081217
MAR04323,0.0006553327228327229
MAR04046,0.0006549165765924345
MAR03845F,0.0005713872728578612
MAR06725B,0.0004965336134453782
MAR04034,0.0004036977973007385
MAR13004F,0.0
MAR12751F,0.0
MAR12742F,0.0
MAR04807F,0.0
MAR04783F,0.0
MAR04783B,0.0
MAR04807B,0.0
MAR12751B,0.0
MAR12742B,0.0
MAR13004B,0.0
