Feature,Importance
MAR04789,0.18278603312520753
MAR03816,0.10142461336687425
MAR08426,0.09473339464872939
MAR04574B,0.051947406513414965
MAR03883,0.02952388218348165
MAR00648,0.024709203847933722
MAR04518,0.024392894773304752
MAR03747,0.02427888783224299
MAR04174,0.018969082124759302
MAR03744,0.018334135517239926
MAR04284,0.01794547314437667
MAR03807B,0.017596630794363532
MAR07703,0.015985666841071663
MAR03912B,0.014595572300951144
MAR04693F,0.013453923563241004
MAR06602F,0.01343710167005751
MAR08684B,0.01274515459194609
MAR07702B,0.012575241290379442
MAR03263F,0.010999876373898734
MAR07706,0.009302465093150053
MAR02027B,0.009069528729613365
MAR08416,0.008726186548837176
MAR06603F,0.00865621390706373
MAR04791,0.008437328193359375
MAR04788,0.008269630186389935
MAR04330B,0.007992834546039544
MAR01616F,0.007943973414880645
MAR04582F,0.007632801172179574
MAR04574F,0.006925497363425421
MAR06725F,0.006291687027087689
MAR06768,0.006288978431162844
MAR04690,0.0061441485342088415
MAR04693B,0.005989622261426195
MAR07702F,0.005370672526532798
MAR11305,0.005356395860538468
MAR04330F,0.005334919974609293
MAR04652F,0.005297206974827605
MAR04519,0.005088342253363283
MAR04323,0.004990756769079499
MAR01616B,0.0048613134530355075
MAR03903,0.004680545218287155
MAR04091,0.004446698489639902
MAR04648,0.004214560433338872
MAR08779,0.004145870653938889
MAR04087,0.004135990905308982
MAR04582B,0.004098223017875314
MAR08539,0.003893778865231364
MAR04520,0.003860049658057401
MAR03807F,0.003855663945664963
MAR03892,0.0037430853955046305
MAR04410F,0.003709822203652918
MAR02027F,0.003636864733691693
MAR06602B,0.0035846423598592295
MAR08755,0.00351867706826876
MAR03912F,0.003511612805076856
MAR06780,0.003509535725158428
MAR04649,0.0034099529119387055
MAR03890,0.0033909541205501994
MAR00649,0.0033620276351717182
MAR03989,0.0033097913631643387
MAR03845F,0.003304228500043285
MAR04650,0.0032980478895810066
MAR08589,0.003063447674847371
MAR04300,0.003029303543167557
MAR08743B,0.003023242028613155
MAR06603B,0.0029452109120353836
MAR04792B,0.002913347256613632
MAR04646,0.00283872056102546
MAR04410B,0.002612440199582966
MAR04652B,0.0025773820229213797
MAR04408F,0.0025456645328999685
MAR00622,0.002335562005264252
MAR04046,0.00232774525060694
MAR03827F,0.002286201436086676
MAR04089,0.0021990020707400534
MAR01649,0.002080418402601116
MAR03829F,0.002042962234462441
MAR08743F,0.002037504736256516
MAR08607,0.0019986809026565416
MAR04808,0.0018811749416470993
MAR04302,0.001813925836451607
MAR03777,0.0018112190913843827
MAR04260,0.0017322402827521927
MAR03263B,0.001700475945735441
MAR06923,0.0016239704447632642
MAR04777,0.0014755812732038247
MAR04792F,0.001388613581899301
MAR03831,0.001298243412789134
MAR08587,0.001293833875464013
MAR06725B,0.001268906510783137
MAR09802,0.001266247527579426
MAR08582,0.001230636264559662
MAR04034,0.0012078611050481245
MAR08684F,0.0012038814976177087
MAR03829B,0.001176132836041652
MAR03827B,0.001174953882289974
MAR03778,0.0009316858360177748
MAR04406,0.0008186991917411352
MAR04408B,0.0007655513864198033
MAR03765,0.0006957825828137964
MAR03940,0.0006796101001478451
MAR03845B,0.0006389864321784214
MAR04776,0.0005892242755520985
MAR04194,0.00045042449144814606
MAR12751B,0.0
MAR13004F,0.0
MAR12751F,0.0
MAR12742F,0.0
MAR04783B,0.0
MAR04807F,0.0
MAR04807B,0.0
MAR04783F,0.0
MAR12742B,0.0
MAR13004B,0.0
