Feature,Importance
064.NoAvocado,0.06186474015534096
114.NoAvocado,0.06180114797327939
086.NoAvocado,0.061773325460244666
131.NoAvocado,0.061264352016237755
152.NoAvocado,0.06103217210991048
097.NoAvocado,0.0609986755494931
175.NoAvocado,0.06092468260362202
186.NoAvocado,0.06064969196004586
048.NoAvocado,0.060620946904984284
167.NoAvocado,0.06034412590146172
166.NoAvocado,0.0600941536472563
132.NoAvocado,0.05987509536668968
060.NoAvocado,0.05986993105706299
123.NoAvocado,0.05907880932272979
041.NoAvocado,0.05819430488454968
133.NoAvocado,0.05629450024689465
170.Avocado,0.0018864830178745868
050.Avocado,0.0016839878822553767
094.Avocado,0.0016611305303385125
155.Avocado,0.0016236740105958238
183.Avocado,0.0015873135977265836
102.Avocado,0.001544191427236615
138.Avocado,0.0015430991597237438
046.Avocado,0.001479000548689992
047.Avocado,0.0014745444226578277
125.Avocado,0.0014130939074810526
169.Avocado,0.0014095298122455346
129.Avocado,0.0014065703172977913
161.Avocado,0.0013292848534387375
073.Avocado,0.001270967056485433
149.Avocado,0.0012635741982226962
134.Avocado,0.0012467694275476642
119.Avocado,0.001187006501167081
118.Avocado,0.0011863529939878702
099.Avocado,0.0011507753847625805
096.Avocado,0.0011430269116959448
056.Avocado,0.0011207220711501294
162.Avocado,0.0010390889838614553
063.Avocado,0.000996072720259719
174.Avocado,0.0009769540945256518
071.Avocado,0.0009552071761002114
113.Avocado,0.0008888587797458956
117.Avocado,0.0008520650531220743
MAR05286,0.0
MAR05287,0.0
MAR05275,0.0
MAR03866,0.0
MAR08666,0.0
MAR05274,0.0
MAR05273,0.0
MAR05272,0.0
MAR08669,0.0
MAR03787,0.0
MAR05271,0.0
MAR05270,0.0
MAR07704,0.0
MAR07706,0.0
MAR08775,0.0
MAR05269,0.0
MAR05276,0.0
MAR05277,0.0
MAR03861,0.0
MAR05283,0.0
MAR05288,0.0
MAR05285,0.0
MAR05289,0.0
MAR05284,0.0
MAR05290,0.0
MAR08778,0.0
MAR05282,0.0
MAR05278,0.0
MAR09817,0.0
MAR09818,0.0
MAR03851,0.0
MAR05281,0.0
MAR05280,0.0
MAR05279,0.0
MAR05291,0.0
MAR03705,0.0
MAR08779,0.0
MAR08780,0.0
MAR00250,0.0
MAR00268,0.0
MAR00284,0.0
MAR00314,0.0
MAR00328,0.0
MAR00332,0.0
MAR00342,0.0
MAR00398,0.0
MAR00005,0.0
MAR00679,0.0
MAR00680,0.0
MAR00681,0.0
MAR00682,0.0
MAR00683,0.0
MAR00684,0.0
MAR03484,0.0
MAR07165,0.0
MAR00238,0.0
MAR00223,0.0
MAR00214,0.0
MAR02439,0.0
MAR00709,0.0
MAR05267,0.0
MAR02177,0.0
MAR02182,0.0
MAR02253,0.0
MAR02258,0.0
MAR02437,0.0
MAR02440,0.0
MAR00197,0.0
MAR02455,0.0
MAR02456,0.0
MAR02457,0.0
MAR02458,0.0
MAR01079,0.0
MAR01085,0.0
MAR04796,0.0
MAR05268,0.0
MAR05266,0.0
MAR01920,0.0
MAR05134,0.0
MAR04688,0.0
MAR04689,0.0
MAR07993,0.0
MAR07135,0.0
MAR07141,0.0
MAR07647,0.0
MAR04300,0.0
MAR05130,0.0
MAR05132,0.0
MAR05135,0.0
MAR04425,0.0
MAR05136,0.0
MAR05137,0.0
MAR05138,0.0
MAR05140,0.0
MAR05141,0.0
MAR05142,0.0
MAR05145,0.0
MAR05146,0.0
MAR05147,0.0
MAR04427,0.0
MAR04347,0.0
MAR05149,0.0
MAR08683,0.0
MAR08796,0.0
MAR03879,0.0
MAR03881,0.0
MAR03928,0.0
MAR04302,0.0
MAR04323,0.0
MAR05391,0.0
MAR06515,0.0
MAR06518,0.0
MAR08685,0.0
MAR04174,0.0
MAR03889,0.0
MAR04175,0.0
MAR04176,0.0
MAR04324,0.0
MAR04326,0.0
MAR04328,0.0
MAR04329,0.0
MAR04708,0.0
MAR04079,0.0
MAR05148,0.0
MAR05150,0.0
MAR05265,0.0
MAR08692,0.0
MAR07318,0.0
MAR07319,0.0
MAR07320,0.0
MAR07321,0.0
MAR07322,0.0
MAR07324,0.0
MAR07428,0.0
MAR07429,0.0
MAR07577,0.0
MAR07616,0.0
MAR07316,0.0
MAR07621,0.0
MAR07626,0.0
MAR05258,0.0
MAR05259,0.0
MAR05260,0.0
MAR05261,0.0
MAR05262,0.0
MAR05263,0.0
MAR05264,0.0
MAR07317,0.0
MAR07315,0.0
MAR07197,0.0
MAR07302,0.0
MAR07286,0.0
MAR07287,0.0
MAR07288,0.0
MAR07289,0.0
MAR07290,0.0
MAR07291,0.0
MAR07292,0.0
MAR07293,0.0
MAR07301,0.0
MAR07303,0.0
MAR07314,0.0
MAR07304,0.0
MAR07305,0.0
MAR07306,0.0
MAR07308,0.0
MAR07309,0.0
MAR07310,0.0
MAR07311,0.0
MAR07312,0.0
MAR07313,0.0
MAR07170,0.0
MAR01565,0.0
MAR01924,0.0
MAR03651,0.0
MAR03643,0.0
MAR03644,0.0
MAR03645,0.0
MAR03646,0.0
MAR03647,0.0
MAR03648,0.0
MAR03649,0.0
MAR03650,0.0
MAR03652,0.0
MAR03662,0.0
MAR03653,0.0
MAR03654,0.0
MAR03655,0.0
MAR03656,0.0
MAR03657,0.0
MAR03658,0.0
MAR03659,0.0
MAR03660,0.0
MAR03642,0.0
MAR03641,0.0
MAR03640,0.0
MAR03639,0.0
MAR03594,0.0
MAR03595,0.0
MAR03596,0.0
MAR03625,0.0
MAR03626,0.0
MAR03627,0.0
MAR03628,0.0
MAR03629,0.0
MAR03630,0.0
MAR03631,0.0
MAR03632,0.0
MAR03633,0.0
MAR03634,0.0
MAR03635,0.0
MAR03636,0.0
MAR03637,0.0
MAR03638,0.0
MAR03661,0.0
MAR03663,0.0
MAR03592,0.0
MAR03694,0.0
MAR03686,0.0
MAR03687,0.0
MAR03688,0.0
MAR03689,0.0
MAR03690,0.0
MAR03691,0.0
MAR03692,0.0
MAR03693,0.0
