key	MAR03989	MAR08582	MAR08587	MAR08589	MAR04087	MAR04089	MAR04091	MAR04046	MAR04406	MAR04518	MAR04519	MAR04520	MAR04646	MAR04648	MAR04649	MAR04650	MAR04808	MAR08755	MAR04034	MAR04194	MAR03831	MAR03890	MAR03892	MAR09802	MAR03903	MAR04690	MAR06780	MAR03816	MAR04776	MAR04777	MAR08416	MAR08426	MAR08607	MAR03883	MAR04284	MAR04788	MAR04789	MAR04791	MAR07703	MAR03747	MAR03744	MAR03777	MAR03778	MAR06923	MAR03765	MAR03940	MAR06768	MAR08539	MAR04302	MAR04323	MAR04174	MAR04300	MAR07706	MAR08779	MAR00622	MAR00648	MAR00649	MAR04260	MAR01649	MAR11305	MAR04574	MAR06602	MAR06603	MAR03827	MAR03829	MAR04693	MAR03807	MAR03845	MAR04582	MAR04792	MAR07702	MAR06725	MAR03912	MAR08684	MAR04330	MAR04408	MAR04410	MAR04652	MAR08743	MAR01616	MAR02027	MAR03263	MAR04783	MAR04807	MAR12742	MAR12751	MAR13004
3402.NoOats	-1993.0802744780324	21.282654700374493	-1993.0802744780324	-1993.0802744780324	150.09711184981333	150.09711184981333	150.09711184981333	1042.2232107969562	1042.2232107969562	-518.9924364712339	-196.02712915971938	-196.02712915971938	293.2407659880677	293.2407659880677	293.2407659880677	293.2407659880677	1042.2232107969562	-196.02712915971938	1042.2232107969562	1042.2232107969562	56.169010688063985	-1042.2232107969562	1042.2232107969562	1042.2232107969562	1107.1307856773524	142.73707349344087	703.9750329662785	-470.63879654572236	238.79374594500536	238.79374594500536	120.93600814958154	-470.63879654572236	1042.2232107969562	744.2436467876437	-188.05300550031518	-1995.0490159207952	2104.740876897311	-1995.0490159207952	1492.5860594042756	-149.71953099004975	-149.71953099004975	283.46356616101036	283.46356616101036	1088.6228178083784	1088.6228178083784	-563.9290331633939	703.9750329662785	-563.9290331633939	110.11809171120107	634.1255550764427	79.05738978627971	1042.2232107969562	1492.5860594042756	-1492.5860594042756	641.2568579817832	42.33988121822683	-42.33988121822683	1042.2232107969562	238.79374594500536	-3961.850963984998	2.842170943040401e-14	0.0	0.0	0.0	0.0	0.0	5.684341886080802e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.220446049250313e-15	0.0	0.0	0.0	0.0	0.0	0.0
3406.Oats	-7163.164506142976	-273.85494424775067	-7163.164506142976	-7163.164506142976	137.38330652109522	137.38330652109522	137.38330652109522	-520.2549702970903	-520.2549702970903	550.3225270155629	655.4588509033367	655.4588509033367	-428.56494101253276	-428.56494101253276	-428.56494101253276	-428.56494101253276	-520.2549702970903	655.4588509033367	-520.2549702970903	-520.2549702970903	418.325884092052	520.2549702970903	-520.2549702970903	-520.2549702970903	-97.08099709531695	-392.4174771432425	-300.2339299466912	-264.20215499122855	-1025.6353007562277	-1025.6353007562277	-53.98583377283893	-264.20215499122855	-520.2549702970903	479.3415169763624	2382.252708109848	3145.3781206238345	-3135.906777502532	3145.3781206238345	-1480.710405431908	-2783.3115714792048	-2783.3115714792048	-1730.8568594032467	-1730.8568594032467	-3157.9283704503814	-3157.9283704503814	-716.0297329756175	-300.2339299466912	-716.0297329756175	-8.87839337521648	488.2199103515789	430.59148516903446	-520.2549702970903	-1480.710405431908	1480.710405431908	451.06587636222605	89.47449691519438	-89.47449691519438	-520.2549702970903	-1025.6353007562277	18151.612037947343	7.105427357601002e-15	0.0	0.0	0.0	0.0	0.0	0.0	-5.684341886080802e-14	5.684341886080802e-14	-5.684341886080802e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3407.NoOats	4149.4580057612275	-823.5525709193575	4149.4580057612275	4149.4580057612275	14.169805336361872	14.169805336361872	14.169805336361872	623.8120861216253	623.8120861216253	242.00114048668578	30.014936993941774	30.014936993941774	-203.7264812547464	-203.7264812547464	-203.7264812547464	-203.7264812547464	623.8120861216253	30.014936993941774	623.8120861216253	623.8120861216253	-3803.5869488082108	-623.8120861216253	623.8120861216253	623.8120861216253	-3183.9444451280024	-1399.4490119940115	1468.8615380633237	-152.03416249147332	271.9694473506091	271.9694473506091	-1651.471783675173	-152.03416249147332	623.8120861216253	-426.4438342295565	2300.2829397103624	2336.7812874491538	-2328.28874574735	2336.7812874491538	210.98385804792525	1032.55431766122	1032.55431766122	389.5566502213642	389.5566502213642	524.3260259248937	524.3260259248937	291.1558722401255	1468.8615380633237	291.1558722401255	12.351111597674905	-438.7949458272314	-2679.2137754579635	623.8120861216253	210.98385804792525	-210.98385804792525	-316.46709222669404	-74.71270814461934	74.71270814461934	623.8120861216253	271.9694473506091	-1769.7548809761681	-5.551115123125783e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1368683772161603e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.105427357601002e-15	7.105427357601002e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3408.Oats	20413.415169420645	823.5370293006429	20413.415169420645	20413.415169420645	55.25641187870171	55.25641187870171	55.25641187870171	914.0403563296256	914.0403563296256	104.773760486257	-309.52370962546445	-309.52370962546445	-127.07480894029817	-127.07480894029817	-127.07480894029817	-127.07480894029817	914.0403563296256	-309.52370962546445	914.0403563296256	914.0403563296256	521.5029012393026	-914.0403563296256	914.0403563296256	914.0403563296256	1426.5528329474555	-140.33775417894225	-1868.3576903637659	-24.464844219643172	761.1676631327138	761.1676631327138	298.9212125701599	-24.464844219643172	914.0403563296256	-702.2836901862657	341.6631358159741	2008.5138698004273	-2004.123284421727	2008.5138698004273	-683.0942275710089	-2566.7262746793194	-2566.7262746793194	-2638.8258811089936	-2638.8258811089936	-3320.8148753914306	-3320.8148753914306	-1118.6798110574246	-1868.3576903637659	-1118.6798110574246	-9.620668295151264	-692.6630218911145	523.3244910761669	914.0403563296256	-683.0942275710089	683.0942275710089	-600.7951476502643	-84.40904601358854	84.40904601358854	914.0403563296256	761.1676631327138	-11829.60060434236	0.0	0.0	0.0	0.0	0.0	5.684341886080802e-14	0.0	0.0	1.4210854715202004e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.105427357601002e-14	7.105427357601002e-14	0.0	-1.7763568394002505e-15	0.0	0.0	0.0	0.0	0.0	0.0
3412.Oats	17900.30805201851	1451.9236790098726	17900.30805201851	17900.30805201851	-124.90908642145004	-124.90908642145004	-124.90908642145004	-1821.6715530777233	-1821.6715530777233	1379.3752408447097	847.0425755146457	847.0425755146457	-1342.6993382147862	-1342.6993382147862	-1342.6993382147862	-1342.6993382147862	-1821.6715530777233	847.0425755146457	-1821.6715530777233	-1821.6715530777233	588.5727203626506	1821.6715530777233	-1821.6715530777233	-1821.6715530777233	-1243.1346512113923	513.8984797407826	-2662.910496933098	289.002165918179	-317.4027373332772	-317.4027373332772	438.88509687123485	289.002165918179	-1821.6715530777233	-710.0001939045059	1973.2355173268397	3716.951104560809	-3708.8970239863456	3716.951104560809	-580.0646851412996	-3813.8469673566506	-3813.8469673566506	-2806.216775345559	-2806.216775345559	-4051.558309916453	-4051.558309916453	677.5031159661264	-2662.910496933098	677.5031159661264	-2.1031774105254843	-707.8970164939805	622.5544179088058	-1821.6715530777233	-580.0646851412996	580.0646851412996	-341.5764756811161	-326.1459777432707	326.1459777432707	-1821.6715530777233	-317.4027373332772	12528.783889583956	5.684341886080802e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0658141036401503e-14	1.0658141036401503e-14	-3.552713678800501e-15	-3.552713678800501e-15	0.0	1.7763568394002505e-15	0.0	0.0	0.0	0.0	0.0	0.0
3413.NoOats	2110.4932501013427	-1737.9688655665893	2110.4932501013427	2110.4932501013427	-8.777536053947957	-8.777536053947957	-8.777536053947957	1363.8251315614464	1363.8251315614464	-13.669316940423798	-132.92645445463245	-132.92645445463245	-107.37944445880451	-107.37944445880451	-107.37944445880451	-107.37944445880451	1363.8251315614464	-132.92645445463245	1363.8251315614464	1363.8251315614464	-1161.5971505404543	-1363.8251315614464	1363.8251315614464	1363.8251315614464	217.7786200246178	-920.9900523601628	-637.9487001109012	-279.7814753102659	-631.8418624406999	-631.8418624406999	-930.9068168286323	-279.7814753102659	1363.8251315614464	-652.3284412726166	904.2165730457175	351.5229048105251	-352.91622631776795	351.5229048105251	1202.0703630050116	-2859.734912057996	-2859.734912057996	-2546.4558752947455	-2546.4558752947455	-3365.9513110473445	-3365.9513110473445	-141.20445887116352	-637.9487001109012	-141.20445887116352	-1.2320082586614773	-651.0964330139551	-1146.791011760226	1363.8251315614464	1202.0703630050116	-1202.0703630050116	456.10323258494407	-1127.0425473995056	1127.0425473995056	1363.8251315614464	-631.8418624406999	-9799.25376159714	7.105427357601002e-15	0.0	0.0	-2.2737367544323206e-13	-2.2737367544323206e-13	0.0	0.0	-1.1368683772161603e-13	-2.842170943040401e-14	-1.1368683772161603e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.552713678800501e-15	3.552713678800501e-15	0.0	5.551115123125783e-17	0.0	0.0	0.0	0.0	0.0	0.0
3414.NoOats	-1403.466486798771	219.73430942349836	-1403.466486798771	-1403.466486798771	33.907985361324926	33.907985361324926	33.907985361324926	-680.3226628772532	-680.3226628772532	-310.9901907071073	-583.5733330419822	-583.5733330419822	152.1074087212828	152.1074087212828	152.1074087212828	152.1074087212828	-680.3226628772532	-583.5733330419822	-680.3226628772532	-680.3226628772532	95.08165084856918	680.3226628772532	-680.3226628772532	-680.3226628772532	-582.0885624197953	618.5217232480528	-1777.2450743571055	-357.57057000405604	-388.67451229356	-388.67451229356	428.0085072760843	-357.57057000405604	-680.3226628772532	-969.7741367830422	1263.5794624335522	1010.7458512655857	-1014.4091503633223	1010.7458512655857	916.0546110675517	-3495.174156374224	-3495.174156374224	-2767.2346926949126	-2767.2346926949126	-3405.5735084730204	-3405.5735084730204	-266.8711196863517	-1777.2450743571055	-266.8711196863517	9.01656839916721	-978.7907051822094	82.46827189589699	-680.3226628772532	916.0546110675517	-916.0546110675517	-838.8272603625968	-125.49136074955223	125.49136074955223	-680.3226628772532	-388.67451229356	-5321.564588168532	-1.4210854715202004e-14	0.0	0.0	0.0	0.0	0.0	0.0	-2.2737367544323206e-13	-5.684341886080802e-14	-2.2737367544323206e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7763568394002505e-15	0.0	0.0	0.0	0.0	0.0	0.0
3415.Oats	6726.382605169392	4504.9774445200055	6726.382605169392	6726.382605169392	333.10350851109723	333.10350851109723	333.10350851109723	330.01090318129945	330.01090318129945	308.7281652179905	514.6603785066768	514.6603785066768	-76.07194813272855	-76.07194813272855	-76.07194813272855	-76.07194813272855	330.01090318129945	514.6603785066768	330.01090318129945	330.01090318129945	-53.77313104035539	-330.01090318129945	330.01090318129945	330.01090318129945	290.3692569394025	-1510.8965364389264	-769.7399134593193	152.3797487154109	-2721.1579579971617	-2721.1579579971617	-1637.8060646736487	152.3797487154109	330.01090318129945	-782.2864648378429	4376.029967587044	5307.4450892053965	-5308.503410592117	5307.4450892053965	104.43977082307707	-1696.023040843489	-1696.023040843489	-725.4986665595752	-725.4986665595752	-1253.2709659420025	-1253.2709659420025	925.438707106442	-769.7399134593193	925.438707106442	-0.5151235970304668	-781.7713412408125	255.1351025628265	330.01090318129945	104.43977082307707	-104.43977082307707	-549.4966370105117	-253.65618431278756	253.65618431278756	330.01090318129945	-2721.1579579971617	-1201.9150947153253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.410605131648481e-13	9.094947017729282e-13	-3.410605131648481e-13	0.0	0.0	0.0	0.0	0.0	5.329070518200751e-15	5.329070518200751e-15	-5.1514348342607263e-14	-5.1514348342607263e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3417.Oats	44905.45290656742	1490.55081266941	44905.45290656742	44905.45290656742	131.72568624063862	131.72568624063862	131.72568624063862	-408.81994806804914	-408.81994806804914	572.9095394880825	194.5773190343586	194.5773190343586	-628.5508950950509	-628.5508950950509	-628.5508950950509	-628.5508950950509	-408.81994806804914	194.5773190343586	-408.81994806804914	-408.81994806804914	617.0745810164251	408.81994806804914	-408.81994806804914	-408.81994806804914	226.53667624368882	1509.3047143533613	-3495.6218890358614	1305.3408925641857	47.97573940815607	47.97573940815607	-92.26719964969519	1305.3408925641857	-408.81994806804914	-1379.1473766210966	408.4273442784572	-133.89284694457598	137.11701566970532	-133.89284694457598	2016.0888319807764	-2897.519126719312	-2897.519126719312	-2744.94560468683	-2744.94560468683	-3717.152828677238	-3717.152828677238	811.5116872541339	-3495.6218890358614	811.5116872541339	-10.921419921815335	-1368.2259566992814	1006.7370300816164	-408.81994806804914	2016.0888319807764	-2016.0888319807764	210.55538687368244	-1589.1296493602733	1589.1296493602733	-408.81994806804914	47.97573940815607	-9047.602637671647	1.8457457784393227e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.842170943040401e-14	-2.842170943040401e-14	0.0	-7.105427357601002e-15	-7.105427357601002e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3420.NoOats	57694.349431120056	-15503.617977007725	57694.349431120056	57694.349431120056	-30.222692639880584	-30.222692639880584	-30.222692639880584	-75.27540803922102	-75.27540803922102	617.3893598443001	96.33799264971606	96.33799264971606	-692.2786268753589	-692.2786268753589	-692.2786268753589	-692.2786268753589	-75.27540803922102	96.33799264971606	-75.27540803922102	-75.27540803922102	-724.775280871959	75.27540803922102	-75.27540803922102	-75.27540803922102	-807.0175238953843	-1055.1248941216045	-1347.1305556291502	304.3973284602188	493.0947761860592	493.0947761860592	-963.4398478632381	304.3973284602188	-75.27540803922102	-1430.8844661599094	1921.6208831952044	2460.7432306477044	-2454.2190277115005	2460.7432306477044	648.1056266996108	-159.51575461572315	-159.51575461572315	-123.51905434112837	-123.51905434112837	-709.2464773570657	-709.2464773570657	1080.6982534838437	-1347.1305556291502	1080.6982534838437	0.9532026589806897	-1431.83766881889	-708.4296004243317	-75.27540803922102	648.1056266996108	-648.1056266996108	-838.2562421330246	-450.78347965035914	450.78347965035914	-75.27540803922102	493.0947761860592	-4445.911004706821	-2.842170943040401e-14	0.0	0.0	0.0	0.0	0.0	0.0	4.547473508864641e-13	-5.684341886080802e-14	4.547473508864641e-13	0.0	0.0	0.0	0.0	0.0	-1.7763568394002505e-15	-1.7763568394002505e-15	1.2434497875801753e-14	1.2434497875801753e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
