Feature,Importance
3402.NoOats,0.0435656421918795
3429.NoOats,0.04336898525319438
3421.NoOats,0.04310686310263327
3444.NoOats,0.042790520441622897
3442.NoOats,0.041524690022089195
3464.NoOats,0.04127208367580148
3467.NoOats,0.04122101214469858
3447.NoOats,0.04114460866640776
3407.NoOats,0.04101521929996906
3413.NoOats,0.04015461085306616
3437.NoOats,0.039687120572749104
3454.NoOats,0.03891350490386877
3414.NoOats,0.03786913070248523
3415.Oats,0.03260762583487098
3430.Oats,0.03252593534817623
3426.Oats,0.03229244165016513
3417.Oats,0.03214015568995838
3412.Oats,0.031914437599687616
3445.Oats,0.03160203896718833
3453.Oats,0.03157500297398335
3440.Oats,0.031323322623873065
3439.Oats,0.030805065604416527
3406.Oats,0.03059480869796836
3458.Oats,0.030590201740962546
3461.Oats,0.030343410190157422
3408.Oats,0.029145887951633337
3469.Oats,0.02903562757625238
3448.Oats,0.027870045720240863
HMDB0000191-,0.0
HMDB0000210+,0.0
HMDB0000226-,0.0
HMDB0000156-,0.0
HMDB0000149+,0.0
HMDB0000148+,0.0
HMDB0000243+,0.0
HMDB0000143-,0.0
HMDB0000056+,0.0
HMDB0000011-,0.0
HMDB0002356+,0.0
HMDB0000159+,0.0
MAR13004,0.0
HMDB0000262+,0.0
HMDB0000292-,0.0
HMDB0000187-,0.0
HMDB0000167-,0.0
HMDB0000158-,0.0
HMDB0000132-,0.0
HMDB0000123-,0.0
HMDB0002259+,0.0
HMDB0001160+,0.0
HMDB0001138+,0.0
HMDB0000826+,0.0
HMDB0000806+,0.0
HMDB0000626-,0.0
HMDB0000301+,0.0
HMDB0000294-,0.0
HMDB0000172+,0.0
HMDB0000162+,0.0
HMDB0000119-,0.0
HMDB0000020+,0.0
HMDB0001488+,0.0
HMDB0000883+,0.0
HMDB0000827+,0.0
HMDB0000754+,0.0
HMDB0000687+,0.0
HMDB0000666+,0.0
HMDB0000660-,0.0
HMDB0000646-,0.0
HMDB0000517+,0.0
HMDB0000300+,0.0
HMDB0000289-,0.0
HMDB0000283+,0.0
HMDB0002259-,0.0
HMDB0002212+,0.0
HMDB0002003+,0.0
HMDB0001893+,0.0
HMDB0000162-,0.0
HMDB0000163+,0.0
HMDB0000167+,0.0
HMDB0000169+,0.0
HMDB0000172-,0.0
HMDB0000182+,0.0
HMDB0000187+,0.0
HMDB0000191+,0.0
HMDB0000195+,0.0
HMDB0000209-,0.0
HMDB0000210-,0.0
HMDB0000211+,0.0
HMDB0000214-,0.0
HMDB0000220+,0.0
HMDB0000224+,0.0
HMDB0000159-,0.0
HMDB0000158+,0.0
HMDB0000157+,0.0
HMDB0000122+,0.0
HMDB0000020-,0.0
HMDB0000056-,0.0
HMDB0000067+,0.0
HMDB0000112+,0.0
HMDB0000115+,0.0
HMDB0000119+,0.0
HMDB0000123+,0.0
HMDB0000156+,0.0
HMDB0000131+,0.0
HMDB0000132+,0.0
HMDB0000134+,0.0
HMDB0000143+,0.0
HMDB0000148-,0.0
HMDB0000149-,0.0
HMDB0000226+,0.0
HMDB0000243-,0.0
HMDB0000254+,0.0
HMDB0000892+,0.0
HMDB0000754-,0.0
HMDB0000763+,0.0
HMDB0000806-,0.0
HMDB0000826-,0.0
HMDB0000827-,0.0
HMDB0000883-,0.0
HMDB0000929+,0.0
HMDB0000673+,0.0
HMDB0000944+,0.0
HMDB0001138-,0.0
HMDB0001160-,0.0
HMDB0001251+,0.0
HMDB0001488-,0.0
HMDB0001858+,0.0
HMDB0000687-,0.0
HMDB0000666-,0.0
HMDB0000262-,0.0
HMDB0000511-,0.0
HMDB0000283-,0.0
HMDB0000289+,0.0
HMDB0000292+,0.0
HMDB0000294+,0.0
HMDB0000300-,0.0
HMDB0000301-,0.0
HMDB0000517-,0.0
