Feature,Importance
4308:P1.NoWalnut,0.04026445472559631
4316:P2.NoWalnut,0.03891350366832042
4313:P1.NoWalnut,0.03714598352306425
4305:P1.NoWalnut,0.03687552843797862
4310:P1.NoWalnut,0.0367556673376704
4318:P1.NoWalnut,0.03645796822999644
4314:P1.NoWalnut,0.035852038432747944
4303:P1.NoWalnut,0.035672263748315565
4304:P2.NoWalnut,0.03533408343427535
4301:P2.NoWalnut,0.03511881710449116
4317:P1.NoWalnut,0.034808634545615974
4302:P2.NoWalnut,0.03479834338433806
4312:P2.NoWalnut,0.03461247100479119
4306:P2.NoWalnut,0.03456204120993547
4311:P2.NoWalnut,0.0339389209380853
4309:P1.NoWalnut,0.03391226809697737
4307:P2.NoWalnut,0.033787012006698786
4311:P1.Walnut,0.023396917128047385
4316:P1.Walnut,0.023139949468706313
4306:P1.Walnut,0.022936438850269518
4313:P2.Walnut,0.022827433218295393
4308:P2.Walnut,0.02273562399749035
4314:P2.Walnut,0.02266358513925243
4315:P1.Walnut,0.022310455881734272
4318:P2.Walnut,0.021871359388989996
4304:P1.Walnut,0.021801776745388145
4312:P1.Walnut,0.021797342462844354
4307:P1.Walnut,0.02145511564741827
4301:P1.Walnut,0.021388719466215074
4317:P2.Walnut,0.02100190132392607
4305:P2.Walnut,0.020874439712487952
4303:P2.Walnut,0.02082547558174063
4302:P1.Walnut,0.020434757917466094
4309:P2.Walnut,0.019924881796888387
4310:P2.Walnut,0.01980382644394083
HMDB0000226-,0.0
HMDB0000156-,0.0
HMDB0000191-,0.0
HMDB0000243+,0.0
HMDB0000149+,0.0
HMDB0000148+,0.0
HMDB0000210+,0.0
HMDB0000262+,0.0
HMDB0000159+,0.0
MAR13004,0.0
HMDB0000511+,0.0
HMDB0000283+,0.0
HMDB0000214+,0.0
HMDB0000187-,0.0
HMDB0000167-,0.0
HMDB0000158-,0.0
HMDB0000132-,0.0
HMDB0000123-,0.0
HMDB0002259+,0.0
HMDB0001160+,0.0
HMDB0001138+,0.0
HMDB0000826+,0.0
HMDB0000806+,0.0
HMDB0000626-,0.0
HMDB0000301+,0.0
HMDB0000294-,0.0
HMDB0000172+,0.0
HMDB0000162+,0.0
HMDB0000119-,0.0
HMDB0000020+,0.0
HMDB0001488+,0.0
HMDB0000883+,0.0
HMDB0000827+,0.0
HMDB0000754+,0.0
HMDB0000687+,0.0
HMDB0000666+,0.0
HMDB0000660-,0.0
HMDB0000646-,0.0
HMDB0000517+,0.0
HMDB0000300+,0.0
HMDB0000289-,0.0
HMDB0000143-,0.0
