Feature,Importance
4910.Broccoli,0.038620932376336965
4901.Broccoli,0.037847706110355706
4914.Broccoli,0.03747712415174718
4912.Broccoli,0.03746779720745532
4915.Broccoli,0.037183060802935014
4902.Broccoli,0.03707499920367311
4908.Broccoli,0.036800217610820835
4916.Broccoli,0.03644849950785427
4909.Broccoli,0.03584846116552205
4918.Broccoli,0.03554550570652274
4911.Broccoli,0.03540806822169489
4903.Broccoli,0.03517574953678816
4909.NoBroccoli,0.03438815162781014
4913.Broccoli,0.03423383776096904
4915.NoBroccoli,0.03418005863001795
4904.Broccoli,0.034033252980934556
4911.NoBroccoli,0.03388754334021035
4918.NoBroccoli,0.03381499240866063
4901.NoBroccoli,0.03332737161038775
4914.NoBroccoli,0.03277027154601399
4908.NoBroccoli,0.032682838942001545
4906.NoBroccoli,0.03268022826926374
4903.NoBroccoli,0.03265041229274263
4912.NoBroccoli,0.03245190579181858
4904.NoBroccoli,0.032416210078944734
4902.NoBroccoli,0.032067867070650534
4913.NoBroccoli,0.03163662330278248
4916.NoBroccoli,0.031531765635175915
4910.NoBroccoli,0.030348547109909217
HMDB0000511+,0.0
HMDB0000292-,0.0
HMDB0000214+,0.0
HMDB0000187-,0.0
HMDB0000148-,0.0
HMDB0000929-,0.0
HMDB0000574-,0.0
HMDB0000763-,0.0
HMDB0000158-,0.0
HMDB0001858-,0.0
HMDB0000122-,0.0
HMDB0000131-,0.0
HMDB0000163-,0.0
HMDB0000209+,0.0
HMDB0000254-,0.0
HMDB0000167-,0.0
HMDB0000826+,0.0
HMDB0000132-,0.0
HMDB0000123-,0.0
HMDB0002259+,0.0
HMDB0001160+,0.0
HMDB0001138+,0.0
HMDB0002356-,0.0
HMDB0000806+,0.0
HMDB0000626-,0.0
HMDB0000301+,0.0
HMDB0000294-,0.0
HMDB0000172+,0.0
HMDB0000162+,0.0
HMDB0000119-,0.0
HMDB0000020+,0.0
HMDB0001488+,0.0
HMDB0002003-,0.0
HMDB0000673-,0.0
HMDB0000169-,0.0
HMDB0000123+,0.0
HMDB0000112-,0.0
HMDB0000143+,0.0
HMDB0000134+,0.0
HMDB0000132+,0.0
4906.Broccoli,0.0
HMDB0000131+,0.0
HMDB0000122+,0.0
HMDB0000067-,0.0
HMDB0000119+,0.0
HMDB0000115+,0.0
HMDB0000112+,0.0
HMDB0000067+,0.0
HMDB0000056-,0.0
HMDB0000020-,0.0
HMDB0000892-,0.0
HMDB0000641-,0.0
HMDB0000134-,0.0
HMDB0002212-,0.0
HMDB0000944-,0.0
HMDB0000220-,0.0
HMDB0000535-,0.0
HMDB0000224-,0.0
HMDB0000157-,0.0
HMDB0001893-,0.0
HMDB0001251-,0.0
HMDB0000827+,0.0
HMDB0000573-,0.0
HMDB0000211-,0.0
HMDB0000195-,0.0
HMDB0000182-,0.0
HMDB0000115-,0.0
HMDB0000883+,0.0
HMDB0000754+,0.0
HMDB0000149-,0.0
HMDB0000666-,0.0
HMDB0000243-,0.0
HMDB0000254+,0.0
HMDB0000262-,0.0
HMDB0000283-,0.0
HMDB0000289+,0.0
HMDB0000292+,0.0
HMDB0000294+,0.0
HMDB0000300-,0.0
HMDB0000301-,0.0
HMDB0000511-,0.0
HMDB0000517-,0.0
HMDB0000535+,0.0
HMDB0000573+,0.0
HMDB0000574+,0.0
HMDB0000626+,0.0
HMDB0000641+,0.0
HMDB0000646+,0.0
HMDB0000226+,0.0
HMDB0000224+,0.0
HMDB0000220+,0.0
HMDB0000169+,0.0
HMDB0000156+,0.0
HMDB0000157+,0.0
HMDB0000158+,0.0
HMDB0000159-,0.0
HMDB0000162-,0.0
HMDB0000163+,0.0
HMDB0000167+,0.0
HMDB0000172-,0.0
