Feature,Importance
3411.Barley,0.0511743975708118
3423.Barley,0.04989068712960575
3403.Barley,0.048216272303441166
3418.Barley,0.04811694898142021
3405.Barley,0.04763832367724543
3470.Barley,0.047382584899712324
3471.Barley,0.04723299207647876
3455.Barley,0.046988915442720235
3446.Barley,0.046951324767451966
3422.Barley,0.046577201295038305
3410.Barley,0.04624373310277115
3434.Barley,0.04618530300641445
3431.Barley,0.045940425932674375
3464.NoBarley,0.029398852334459418
3421.NoBarley,0.029007308987248664
3407.NoBarley,0.028711908529466385
3413.NoBarley,0.02826799251261407
3437.NoBarley,0.028150960648248305
3442.NoBarley,0.027827277077030355
3402.NoBarley,0.02723146026863155
3429.NoBarley,0.027106409962139245
3447.NoBarley,0.027062792784580497
3414.NoBarley,0.026655807730364627
3420.NoBarley,0.02616154982180216
3454.NoBarley,0.026079087710963213
3467.NoBarley,0.025148183633512
3444.NoBarley,0.024651297813153634
MAR05258,0.0
MAR05261,0.0
MAR05262,0.0
MAR05260,0.0
MAR05263,0.0
MAR05264,0.0
MAR05265,0.0
MAR05266,0.0
MAR05267,0.0
MAR03540,0.0
MAR08779,0.0
MAR07706,0.0
MAR09818,0.0
MAR09817,0.0
MAR05291,0.0
MAR05290,0.0
MAR05289,0.0
MAR05288,0.0
MAR05287,0.0
MAR05286,0.0
MAR05285,0.0
MAR05284,0.0
MAR05283,0.0
MAR05282,0.0
MAR05281,0.0
MAR05280,0.0
MAR05279,0.0
MAR05278,0.0
MAR05277,0.0
MAR05276,0.0
MAR05275,0.0
MAR05274,0.0
MAR05273,0.0
MAR05272,0.0
MAR05271,0.0
MAR05270,0.0
MAR05269,0.0
MAR05268,0.0
MAR05259,0.0
MAR10034B,0.0
MAR07306,0.0
MAR04198,0.0
MAR03747,0.0
MAR07703,0.0
MAR04791,0.0
MAR04789,0.0
MAR04788,0.0
MAR04467,0.0
MAR04284,0.0
MAR03883,0.0
MAR03777,0.0
MAR08607,0.0
MAR08426,0.0
MAR08416,0.0
MAR04787,0.0
MAR04777,0.0
MAR04776,0.0
MAR03816,0.0
MAR03744,0.0
MAR03778,0.0
MAR07305,0.0
MAR04329,0.0
MAR04690,0.0
MAR07304,0.0
MAR07303,0.0
MAR07302,0.0
MAR07301,0.0
MAR04300,0.0
MAR04174,0.0
MAR04328,0.0
MAR06923,0.0
MAR04324,0.0
MAR04323,0.0
MAR04302,0.0
MAR08539,0.0
MAR06768,0.0
MAR03940,0.0
MAR03765,0.0
MAR03544,0.0
MAR03545,0.0
MAR03548,0.0
MAR04693F,0.0
MAR10982F,0.0
MAR10981F,0.0
MAR03263F,0.0
MAR03042F,0.0
MAR02027F,0.0
MAR01616F,0.0
MAR00692F,0.0
MAR00688F,0.0
MAR01834F,0.0
MAR08743F,0.0
MAR04652F,0.0
MAR04410F,0.0
MAR04408F,0.0
MAR04330F,0.0
MAR08684F,0.0
MAR03912F,0.0
MAR06725F,0.0
MAR06708F,0.0
MAR05336F,0.0
MAR07702F,0.0
MAR04792F,0.0
MAR04582F,0.0
MAR03845F,0.0
MAR10984F,0.0
MAR10986F,0.0
MAR10988F,0.0
MAR11004F,0.0
MAR11017F,0.0
MAR11016F,0.0
MAR11015F,0.0
MAR11014F,0.0
MAR11013F,0.0
MAR11012F,0.0
MAR11011F,0.0
MAR11007F,0.0
MAR11006F,0.0
MAR11005F,0.0
MAR11003F,0.0
MAR10989F,0.0
MAR11002F,0.0
MAR11001F,0.0
MAR11000F,0.0
MAR10999F,0.0
MAR10998F,0.0
MAR10996F,0.0
MAR10995F,0.0
MAR10994F,0.0
MAR10993F,0.0
MAR10991F,0.0
MAR03807F,0.0
MAR04109F,0.0
MAR03551,0.0
MAR03899F,0.0
MAR00649,0.0
MAR00648,0.0
MAR00622,0.0
MAR08238,0.0
MAR03732,0.0
MAR03718,0.0
MAR03716,0.0
MAR03715,0.0
MAR03712,0.0
MAR03705,0.0
MAR03701,0.0
MAR03697,0.0
MAR03694,0.0
MAR03691,0.0
MAR03690,0.0
MAR03686,0.0
MAR03586,0.0
MAR03572,0.0
MAR03570,0.0
MAR03569,0.0
MAR03566,0.0
MAR03559,0.0
MAR03555,0.0
MAR04260,0.0
MAR09481,0.0
MAR00012,0.0
MAR11305,0.0
MAR03829F,0.0
MAR03827F,0.0
MAR03813F,0.0
MAR06603F,0.0
MAR06602F,0.0
MAR04574F,0.0
MAR10064,0.0
MAR13078,0.0
MAR12993,0.0
MAR12140,0.0
MAR09943,0.0
MAR00685,0.0
MAR09931,0.0
MAR04413,0.0
MAR01649,0.0
