Feature,Importance
MAR10034,0.0
MAR04303,0.0
MAR04091,0.0
MAR04089,0.0
MAR04087,0.0
MAR08764,0.0
MAR04416,0.0
MAR04415,0.0
MAR08584,0.0
MAR04406,0.0
MAR08589,0.0
MAR08587,0.0
MAR08582,0.0
MAR08580,0.0
MAR08592,0.0
MAR08591,0.0
MAR04046,0.0
MAR04518,0.0
MAR03989,0.0
MAR04034,0.0
MAR03903,0.0
MAR09802,0.0
MAR03892,0.0
MAR03890,0.0
MAR03831,0.0
MAR04194,0.0
MAR08755,0.0
MAR04519,0.0
MAR04808,0.0
MAR04650,0.0
MAR04649,0.0
MAR04648,0.0
MAR04646,0.0
MAR04520,0.0
MAR08581,0.0
4518:P5.Almond,0.0
MAR10033,0.0
4501:P5.Almond,0.0
4505:P3.NoAlmond,0.0
4505:P2.Almond,0.0
4503:P2.NoAlmond,0.0
4503:P1.Almond,0.0
4502:P3.Almond,0.0
4502:P2.NoAlmond,0.0
4501:P4.NoAlmond,0.0
4506:P3.NoAlmond,0.0
HMDB0000112-,0.0
HMDB0000641-,0.0
HMDB0000134-,0.0
HMDB0002212-,0.0
HMDB0000944-,0.0
HMDB0000220-,0.0
4506:P1.Almond,0.0
4507:P2.NoAlmond,0.0
4518:P2.NoAlmond,0.0
4512:P5.NoAlmond,0.0
4516:P4.Almond,0.0
4516:P3.NoAlmond,0.0
4515:P5.NoAlmond,0.0
4515:P3.Almond,0.0
4514:P5.NoAlmond,0.0
4514:P3.Almond,0.0
4512:P1.Almond,0.0
4507:P3.Almond,0.0
4511:P5.Almond,0.0
4511:P1.NoAlmond,0.0
4509:P4.NoAlmond,0.0
4509:P2.Almond,0.0
4508:P2.Almond,0.0
4508:P1.NoAlmond,0.0
MAR04196,0.0
MAR04197,0.0
MAR04690,0.0
MAR05263,0.0
MAR05269,0.0
MAR05268,0.0
MAR05267,0.0
MAR05266,0.0
MAR05265,0.0
MAR05264,0.0
MAR05262,0.0
MAR05271,0.0
MAR05261,0.0
MAR05260,0.0
MAR05259,0.0
MAR05258,0.0
MAR07306,0.0
MAR07305,0.0
MAR05270,0.0
MAR05272,0.0
MAR06780,0.0
MAR05281,0.0
MAR05287,0.0
MAR05286,0.0
MAR05285,0.0
MAR05284,0.0
MAR05283,0.0
MAR05282,0.0
MAR05280,0.0
MAR05273,0.0
MAR05279,0.0
MAR05278,0.0
MAR05277,0.0
MAR05276,0.0
MAR05275,0.0
MAR05274,0.0
MAR07304,0.0
MAR07303,0.0
MAR07302,0.0
MAR03883,0.0
MAR04791,0.0
MAR04789,0.0
MAR04788,0.0
MAR04467,0.0
MAR04284,0.0
MAR04198,0.0
MAR08607,0.0
MAR07301,0.0
MAR08426,0.0
MAR08416,0.0
MAR04787,0.0
MAR04777,0.0
MAR04776,0.0
MAR03816,0.0
MAR07703,0.0
MAR03747,0.0
MAR03744,0.0
MAR03777,0.0
MAR03778,0.0
MAR06923,0.0
MAR03765,0.0
MAR03940,0.0
MAR06768,0.0
MAR08539,0.0
MAR04302,0.0
MAR04323,0.0
MAR04324,0.0
MAR04328,0.0
MAR04329,0.0
MAR04174,0.0
MAR04300,0.0
HMDB0000535-,0.0
HMDB0000224-,0.0
HMDB0000157-,0.0
HMDB0000301-,0.0
HMDB0000626+,0.0
HMDB0000574+,0.0
HMDB0000573+,0.0
HMDB0000535+,0.0
HMDB0000517-,0.0
HMDB0000511-,0.0
HMDB0000300-,0.0
HMDB0000646+,0.0
HMDB0000294+,0.0
HMDB0000292+,0.0
HMDB0000289+,0.0
HMDB0000283-,0.0
HMDB0000262-,0.0
HMDB0000254+,0.0
HMDB0000641+,0.0
HMDB0000660+,0.0
HMDB0001858+,0.0
HMDB0000883-,0.0
HMDB0001251+,0.0
HMDB0001160-,0.0
HMDB0001138-,0.0
HMDB0000944+,0.0
HMDB0000929+,0.0
HMDB0000892+,0.0
HMDB0000827-,0.0
HMDB0000666-,0.0
HMDB0000826-,0.0
HMDB0000806-,0.0
HMDB0000763+,0.0
HMDB0000754-,0.0
HMDB0000687-,0.0
HMDB0000673+,0.0
HMDB0000243-,0.0
HMDB0000226+,0.0
HMDB0000224+,0.0
HMDB0000123+,0.0
HMDB0000149-,0.0
HMDB0000148-,0.0
HMDB0000143+,0.0
HMDB0000134+,0.0
HMDB0000132+,0.0
HMDB0000131+,0.0
HMDB0000122+,0.0
HMDB0000220+,0.0
HMDB0000119+,0.0
HMDB0000115+,0.0
HMDB0000112+,0.0
HMDB0000067+,0.0
HMDB0000056-,0.0
HMDB0000020-,0.0
HMDB0000156+,0.0
HMDB0000157+,0.0
HMDB0000158+,0.0
HMDB0000159-,0.0
HMDB0000162-,0.0
HMDB0000163+,0.0
HMDB0000167+,0.0
HMDB0000169+,0.0
HMDB0000172-,0.0
HMDB0000182+,0.0
HMDB0000187+,0.0
HMDB0000191+,0.0
HMDB0000195+,0.0
HMDB0000209-,0.0
HMDB0000210-,0.0
HMDB0000211+,0.0
HMDB0000214-,0.0
HMDB0001488-,0.0
HMDB0001893+,0.0
HMDB0001893-,0.0
HMDB0000167-,0.0
HMDB0000763-,0.0
HMDB0000574-,0.0
HMDB0000511+,0.0
HMDB0000292-,0.0
HMDB0000214+,0.0
HMDB0000187-,0.0
HMDB0000158-,0.0
HMDB0001858-,0.0
HMDB0000132-,0.0
HMDB0000123-,0.0
HMDB0002259+,0.0
HMDB0001160+,0.0
HMDB0001138+,0.0
HMDB0000826+,0.0
HMDB0000929-,0.0
HMDB0000122-,0.0
HMDB0002003+,0.0
HMDB0000115-,0.0
HMDB0001251-,0.0
HMDB0000673-,0.0
HMDB0000573-,0.0
HMDB0000211-,0.0
HMDB0000195-,0.0
HMDB0000182-,0.0
HMDB0000067-,0.0
HMDB0000131-,0.0
HMDB0000169-,0.0
HMDB0002356-,0.0
HMDB0002003-,0.0
HMDB0000254-,0.0
HMDB0000209+,0.0
HMDB0000163-,0.0
HMDB0000806+,0.0
HMDB0000626-,0.0
HMDB0000301+,0.0
HMDB0000149+,0.0
HMDB0000243+,0.0
HMDB0000226-,0.0
HMDB0000210+,0.0
HMDB0000191-,0.0
HMDB0000159+,0.0
HMDB0000156-,0.0
HMDB0000148+,0.0
HMDB0000294-,0.0
HMDB0000143-,0.0
HMDB0000056+,0.0
HMDB0000011-,0.0
HMDB0002356+,0.0
HMDB0002259-,0.0
HMDB0002212+,0.0
HMDB0000262+,0.0
HMDB0000283+,0.0
HMDB0000289-,0.0
HMDB0000300+,0.0
HMDB0000517+,0.0
HMDB0000646-,0.0
HMDB0000660-,0.0
HMDB0000666+,0.0
HMDB0000687+,0.0
HMDB0000754+,0.0
HMDB0000827+,0.0
HMDB0000883+,0.0
HMDB0001488+,0.0
HMDB0000020+,0.0
HMDB0000119-,0.0
HMDB0000162+,0.0
HMDB0000172+,0.0
MAR05288,0.0
MAR05289,0.0
MAR05290,0.0
MAR11112,0.0
MAR11121,0.0
MAR11120,0.0
MAR11119,0.0
MAR11118,0.0
MAR11116,0.0
MAR11115,0.0
MAR11111,0.0
MAR11123,0.0
MAR11109,0.0
MAR11108,0.0
MAR11107,0.0
MAR11106,0.0
MAR11105,0.0
MAR11104,0.0
MAR11122,0.0
MAR11124,0.0
MAR11144,0.0
MAR11135,0.0
MAR11142,0.0
MAR11140,0.0
MAR11139,0.0
MAR11138,0.0
MAR11137,0.0
MAR11136,0.0
MAR11134,0.0
MAR11127,0.0
MAR11133,0.0
MAR11132,0.0
MAR11131,0.0
MAR11130,0.0
MAR11129,0.0
MAR11128,0.0
MAR11102,0.0
MAR11101,0.0
MAR11100,0.0
MAR11071,0.0
MAR11080,0.0
MAR11078,0.0
MAR11077,0.0
MAR11074,0.0
MAR11073,0.0
MAR11072,0.0
MAR11068,0.0
MAR11099,0.0
MAR11067,0.0
MAR11062,0.0
MAR11061,0.0
MAR11060,0.0
MAR11059,0.0
MAR11058,0.0
MAR11082,0.0
MAR11083,0.0
MAR11084,0.0
MAR11085,0.0
MAR11086,0.0
MAR11087,0.0
MAR11088,0.0
MAR11089,0.0
MAR11090,0.0
MAR11091,0.0
MAR11092,0.0
MAR11093,0.0
MAR11094,0.0
MAR11095,0.0
MAR11096,0.0
MAR11097,0.0
MAR11098,0.0
MAR11143,0.0
MAR11145,0.0
MAR11056,0.0
MAR11195,0.0
MAR11202,0.0
MAR11201,0.0
MAR11200,0.0
MAR11199,0.0
MAR11197,0.0
MAR11196,0.0
MAR11194,0.0
MAR11204,0.0
MAR11193,0.0
MAR11192,0.0
MAR11191,0.0
MAR11190,0.0
MAR11189,0.0
MAR11187,0.0
MAR11203,0.0
MAR11205,0.0
MAR11146,0.0
MAR11216,0.0
MAR11413,0.0
MAR11222,0.0
MAR11220,0.0
MAR11219,0.0
MAR11218,0.0
MAR11217,0.0
MAR11215,0.0
MAR11206,0.0
MAR11214,0.0
MAR11212,0.0
MAR11211,0.0
MAR11209,0.0
MAR11208,0.0
MAR11207,0.0
MAR11186,0.0
MAR11185,0.0
MAR11184,0.0
MAR11155,0.0
MAR11161,0.0
MAR11160,0.0
MAR11159,0.0
MAR11158,0.0
MAR11157,0.0
MAR11156,0.0
MAR11154,0.0
MAR11183,0.0
MAR11153,0.0
MAR11152,0.0
MAR11151,0.0
MAR11150,0.0
MAR11149,0.0
MAR11148,0.0
MAR11163,0.0
MAR11164,0.0
MAR11165,0.0
MAR11166,0.0
MAR11167,0.0
MAR11168,0.0
MAR11169,0.0
MAR11170,0.0
MAR11171,0.0
MAR11172,0.0
MAR11173,0.0
MAR11174,0.0
MAR11175,0.0
MAR11176,0.0
MAR11179,0.0
MAR11181,0.0
MAR11182,0.0
MAR11057,0.0
MAR11054,0.0
MAR05291,0.0
MAR00021,0.0
MAR12140,0.0
MAR11305,0.0
MAR09943,0.0
MAR09931,0.0
MAR04413,0.0
MAR01649,0.0
MAR05257,0.0
MAR13078,0.0
MAR00691,0.0
MAR00690,0.0
MAR00689,0.0
MAR00687,0.0
MAR00686,0.0
MAR00685,0.0
MAR12993,0.0
MAR10064,0.0
MAR06725,0.0
MAR04693,0.0
MAR05336,0.0
MAR07702,0.0
MAR04792,0.0
MAR04582,0.0
MAR03845,0.0
MAR03807,0.0
MAR04109,0.0
MAR04574,0.0
MAR03899,0.0
MAR03829,0.0
MAR03827,0.0
MAR03813,0.0
MAR06603,0.0
MAR06602,0.0
MAR00012,0.0
MAR09481,0.0
MAR04260,0.0
MAR03548,0.0
MAR03570,0.0
MAR03569,0.0
MAR03566,0.0
MAR03559,0.0
MAR03555,0.0
MAR03551,0.0
MAR03545,0.0
MAR00649,0.0
MAR03544,0.0
MAR03540,0.0
MAR08779,0.0
MAR07706,0.0
MAR09818,0.0
MAR09817,0.0
MAR03572,0.0
MAR03586,0.0
MAR03686,0.0
MAR03690,0.0
MAR03691,0.0
MAR03694,0.0
MAR03697,0.0
MAR03701,0.0
MAR03705,0.0
MAR03712,0.0
MAR03715,0.0
MAR03716,0.0
MAR03718,0.0
MAR03732,0.0
MAR08238,0.0
MAR00622,0.0
MAR00648,0.0
MAR06708,0.0
MAR03912,0.0
MAR11053,0.0
MAR11020,0.0
MAR11027,0.0
MAR11026,0.0
MAR11024,0.0
MAR11023,0.0
MAR11022,0.0
MAR11021,0.0
MAR11019,0.0
MAR11031,0.0
MAR11018,0.0
MAR11017,0.0
MAR11016,0.0
MAR11015,0.0
MAR11014,0.0
MAR11013,0.0
MAR11029,0.0
MAR11032,0.0
MAR08684,0.0
MAR11043,0.0
MAR11052,0.0
MAR11049,0.0
MAR11048,0.0
MAR11046,0.0
MAR11045,0.0
MAR11044,0.0
MAR11042,0.0
MAR11033,0.0
MAR11041,0.0
MAR11040,0.0
MAR11039,0.0
MAR11036,0.0
MAR11035,0.0
MAR11034,0.0
MAR11012,0.0
MAR11011,0.0
MAR11007,0.0
MAR00692,0.0
MAR10982,0.0
MAR10981,0.0
MAR03263,0.0
MAR03042,0.0
MAR02027,0.0
MAR01616,0.0
MAR00688,0.0
MAR11006,0.0
MAR01834,0.0
MAR08743,0.0
MAR04652,0.0
MAR04410,0.0
MAR04408,0.0
MAR04330,0.0
MAR10984,0.0
MAR10986,0.0
MAR10988,0.0
MAR10989,0.0
MAR10991,0.0
MAR10993,0.0
MAR10994,0.0
MAR10995,0.0
MAR10996,0.0
MAR10998,0.0
MAR10999,0.0
MAR11000,0.0
MAR11001,0.0
MAR11002,0.0
MAR11003,0.0
MAR11004,0.0
MAR11005,0.0
HMDB0000011+,0.0
