RXN_ID	EQUATION	SUBSYSTEM	Direction	EQUATION_LHS	EQUATION_RHS	Substrate_Set	Product_Set	Metabolite_Set	Substrate_Count	Product_Count	Metabolite_Count	Measured_Substrate	Measured_Product	Measured_Metabolite	Measured_Substrate_Count	Measured_Product_Count	Measured_Metabolite_Count
MAR03989	H2O + maltose => 2 glucose	Starch and sucrose metabolism	1	H2O + maltose	2 glucose	{'H2O', 'maltose'}	{'glucose'}	{'glucose', 'H2O', 'maltose'}	2	1	3	{'maltose'}	{'glucose'}	{'glucose', 'maltose'}	1	1	2
MAR08581	H2O + maltotriose => glucose + maltose	Starch and sucrose metabolism	1	H2O + maltotriose	glucose + maltose	{'maltotriose', 'H2O'}	{'glucose', 'maltose'}	{'glucose', 'maltotriose', 'H2O', 'maltose'}	2	2	4	set()	{'glucose', 'maltose'}	{'glucose', 'maltose'}	0	2	2
MAR08591	H2O + maltotriose => glucose + maltose	Starch and sucrose metabolism	1	H2O + maltotriose	glucose + maltose	{'maltotriose', 'H2O'}	{'glucose', 'maltose'}	{'glucose', 'maltotriose', 'H2O', 'maltose'}	2	2	4	set()	{'glucose', 'maltose'}	{'glucose', 'maltose'}	0	2	2
MAR08592	H2O + maltotriose => glucose + maltose	Starch and sucrose metabolism	1	H2O + maltotriose	glucose + maltose	{'maltotriose', 'H2O'}	{'glucose', 'maltose'}	{'glucose', 'maltotriose', 'H2O', 'maltose'}	2	2	4	set()	{'glucose', 'maltose'}	{'glucose', 'maltose'}	0	2	2
MAR08580	H2O + maltotriose => fructose + maltose	Starch and sucrose metabolism	1	H2O + maltotriose	fructose + maltose	{'maltotriose', 'H2O'}	{'fructose', 'maltose'}	{'maltotriose', 'H2O', 'fructose', 'maltose'}	2	2	4	set()	{'fructose', 'maltose'}	{'fructose', 'maltose'}	0	2	2
MAR08582	H2O + maltose => 2 fructose	Starch and sucrose metabolism	1	H2O + maltose	2 fructose	{'H2O', 'maltose'}	{'fructose'}	{'maltose', 'fructose', 'H2O'}	2	1	3	{'maltose'}	{'fructose'}	{'fructose', 'maltose'}	1	1	2
MAR08587	H2O + maltose => 2 glucose	Starch and sucrose metabolism	1	H2O + maltose	2 glucose	{'H2O', 'maltose'}	{'glucose'}	{'glucose', 'H2O', 'maltose'}	2	1	3	{'maltose'}	{'glucose'}	{'glucose', 'maltose'}	1	1	2
MAR08589	H2O + maltose => 2 glucose	Starch and sucrose metabolism	1	H2O + maltose	2 glucose	{'H2O', 'maltose'}	{'glucose'}	{'glucose', 'H2O', 'maltose'}	2	1	3	{'maltose'}	{'glucose'}	{'glucose', 'maltose'}	1	1	2
MAR08584	H2O + starch structure 2 => glucose + maltose	Starch and sucrose metabolism	1	H2O + starch structure 2	glucose + maltose	{'starch structure 2', 'H2O'}	{'glucose', 'maltose'}	{'glucose', 'starch structure 2', 'H2O', 'maltose'}	2	2	4	set()	{'glucose', 'maltose'}	{'glucose', 'maltose'}	0	2	2
MAR04303	H2O + sucrose => fructose + glucose	Galactose metabolism	1	H2O + sucrose	fructose + glucose	{'sucrose', 'H2O'}	{'glucose', 'fructose'}	{'glucose', 'sucrose', 'fructose', 'H2O'}	2	2	4	set()	{'glucose', 'fructose'}	{'glucose', 'fructose'}	0	2	2
